Index,Lat,Lon,GPS time,UTC,Alt (MSL)
0,29.18859483,-81.04852350,2403:155587.000,19:12:49.000 01/26/2026,26.100
1,29.18859233,-81.04852433,2403:155588.000,19:12:50.000 01/26/2026,26.100
2,29.18859183,-81.04852417,2403:155589.000,19:12:51.000 01/26/2026,26.200
3,29.18859617,-81.04852933,2403:155590.000,19:12:52.000 01/26/2026,26.500
4,29.18859183,-81.04853867,2403:155591.000,19:12:53.000 01/26/2026,26.400
5,29.18859917,-81.04854367,2403:155592.000,19:12:54.000 01/26/2026,26.500
6,29.18861067,-81.04854100,2403:155593.000,19:12:55.000 01/26/2026,25.400
7,29.18861350,-81.04855217,2403:155594.000,19:12:56.000 01/26/2026,25.100
8,29.18862233,-81.04855683,2403:155595.000,19:12:57.000 01/26/2026,24.300
9,29.18863017,-81.04856733,2403:155596.000,19:12:58.000 01/26/2026,24.500
10,29.18863617,-81.04857917,2403:155597.000,19:12:59.000 01/26/2026,24.800
11,29.18864067,-81.04859050,2403:155598.000,19:13:00.000 01/26/2026,24.900
12,29.18863967,-81.04860017,2403:155599.000,19:13:01.000 01/26/2026,24.000
13,29.18864333,-81.04860883,2403:155600.000,19:13:02.000 01/26/2026,23.500
14,29.18864550,-81.04861683,2403:155601.000,19:13:03.000 01/26/2026,22.900
15,29.18864850,-81.04862000,2403:155602.000,19:13:04.000 01/26/2026,22.700
16,29.18865400,-81.04862567,2403:155603.000,19:13:05.000 01/26/2026,22.500
17,29.18865317,-81.04863583,2403:155604.000,19:13:06.000 01/26/2026,22.000
18,29.18866017,-81.04864133,2403:155605.000,19:13:07.000 01/26/2026,21.400
19,29.18866683,-81.04864767,2403:155606.000,19:13:08.000 01/26/2026,21.200
20,29.18866967,-81.04865533,2403:155607.000,19:13:09.000 01/26/2026,21.100
21,29.18867267,-81.04866417,2403:155608.000,19:13:10.000 01/26/2026,20.900
22,29.18867717,-81.04867400,2403:155609.000,19:13:11.000 01/26/2026,21.100
23,29.18868183,-81.04868317,2403:155610.000,19:13:12.000 01/26/2026,21.100
24,29.18868717,-81.04869317,2403:155611.000,19:13:13.000 01/26/2026,21.000
25,29.18869250,-81.04870200,2403:155612.000,19:13:14.000 01/26/2026,21.100
26,29.18869800,-81.04871100,2403:155613.000,19:13:15.000 01/26/2026,21.300
27,29.18870883,-81.04871850,2403:155614.000,19:13:16.000 01/26/2026,21.700
28,29.18871750,-81.04872183,2403:155615.000,19:13:17.000 01/26/2026,21.000
29,29.18871750,-81.04873183,2403:155616.000,19:13:18.000 01/26/2026,21.000
30,29.18871117,-81.04874300,2403:155617.000,19:13:19.000 01/26/2026,20.100
31,29.18870983,-81.04874383,2403:155618.000,19:13:20.000 01/26/2026,19.800
32,29.18870850,-81.04874517,2403:155619.000,19:13:21.000 01/26/2026,19.400
33,29.18870683,-81.04874550,2403:155620.000,19:13:22.000 01/26/2026,19.200
34,29.18870733,-81.04874517,2403:155621.000,19:13:23.000 01/26/2026,19.300
35,29.18870633,-81.04874617,2403:155622.000,19:13:24.000 01/26/2026,19.000
36,29.18870750,-81.04874517,2403:155623.000,19:13:25.000 01/26/2026,19.200
37,29.18870733,-81.04874533,2403:155624.000,19:13:26.000 01/26/2026,19.100
38,29.18870533,-81.04874517,2403:155625.000,19:13:27.000 01/26/2026,18.800
39,29.18871083,-81.04874467,2403:155626.000,19:13:28.000 01/26/2026,19.500
40,29.18872183,-81.04874683,2403:155627.000,19:13:29.000 01/26/2026,21.400
41,29.18873433,-81.04874067,2403:155628.000,19:13:30.000 01/26/2026,23.100
42,29.18874133,-81.04874150,2403:155629.000,19:13:31.000 01/26/2026,22.700
43,29.18872533,-81.04873783,2403:155630.000,19:13:32.000 01/26/2026,20.800
44,29.18873033,-81.04873367,2403:155631.000,19:13:33.000 01/26/2026,21.100
45,29.18873050,-81.04872533,2403:155632.000,19:13:34.000 01/26/2026,21.000
46,29.18873017,-81.04871333,2403:155633.000,19:13:35.000 01/26/2026,21.000
47,29.18873400,-81.04870350,2403:155634.000,19:13:36.000 01/26/2026,19.500
48,29.18874033,-81.04869600,2403:155635.000,19:13:37.000 01/26/2026,18.400
49,29.18874950,-81.04868117,2403:155636.000,19:13:38.000 01/26/2026,18.900
